"P id","property label","P domain id","domain","P range id","range",,"TP id","typed property label","typed property example","TP FOL 1","TP FOL 2","TP FOL 3","shortcut statement",,"NTP id","negative typed property label","negative typed property example","NTP FOL 1","NTP FOL 2"
"P27","moved from (was origin of)","E9","Move","E53","Place",,"TP27","moved from place of type","collection move from a gallery","TP27(x,y) ⇒ E9(x)","TP27(x,y) ⇒ E55(y)","TP27(x,y) ⇔ (∃ z)[E53(z) ∧ P27(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E9 Move, _P27 moved from (was origin of)_, E53 Place, _P2 has type_, E55 Type",,"NTP27","did not move from place of type","collection did not move from a place of type gallery","NTP27(x,y) ⇒ E9(x)","NTP27(x,y) ⇒ E55(y)"
"P30","transferred custody of (custody transferred through)","E10","Transfer of Custody","E18","Physical Thing",,"TP30","transferred custody of physical thing of type","borrowed object of type book for the exhibition","TP30(x,y) ⇒ E10(x)","TP30(x,y) ⇒ E55(y)","TP30(x,y) ⇔ (∃ z)[E18(z) ∧ P30(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E10 Transfer of Custody, _P30 transferred custody of (custody transferred through)_, E18 Physical Thing, _P2 has type_, E55 Type",,"NTP30","did not transfer custody of physical thing of type","did not borrow object of type book for the exhibition","NTP30(x,y) ⇒ E10(x)","NTP30(x,y) ⇒ E55(y)"
"P43","has dimension (is dimension of)","E70","Thing","E54","Dimension",,"TP43","has dimension of type","book has dimension of type radius (for semicircular books)","TP43(x,y) ⇒ E70(x)","TP43(x,y) ⇒ E55(y)","TP43(x,y) ⇔ (∃ z)[E54(z) ∧ P43(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E70 Thing, _P43 has dimension (is dimension of)_, E54 Dimension, _P2 has type_, E55 Type",,"NTP43","does not have dimension of type","book does not have a radius","NTP43(x,y) ⇒ E70(x)","NTP43(x,y) ⇒ E55(y)"
"P44","has condition (is condition of)","E18","Physical Thing","E3","Condition State",,"TP44","has condition of type","book has condition of type “tears”","TP44(x,y) ⇒ E18(x)","TP44(x,y) ⇒ E55(y)","TP44(x,y) ⇔ (∃ z)[E3(z) ∧ P44(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E18 Physical Thing, _P44 has condition (is condition of)_, E3 Condition State, _P2 has type_, E55 Type",,"NTP44","does not have condition of type","book does not have tears","NTP44(x,y) ⇒ E18(x)","NTP44(x,y) ⇒ E55(y)"
"P45","consists of (is incorporated in)","E18","Physical Thing","E57","Material",,"",,,"","","","This property is a shortcut of the fully developed path: E18 Physical Thing, _P45 consists of (is incorporated in)_, E57 Material, _P2 has type_, E55 Type",,"NTP45","does not consist of material","book is not made of gold leaf","NTP45(x,y) ⇒ E18(x)","NTP45(x,y) ⇒ E55(y)"
"P49","has former or current keeper (is former or current keeper of)","E18","Physical Thing","E39","Actor",,"TP49","has former or current keeper of type",,"TP49(x,y) ⇒ E18(x)","TP49(x,y) ⇒ E55(y)","TP49(x,y) ⇔ (∃ z)[E39(z) ∧ P49(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E18 Physical Thing, _P49 has former or current keeper (is former or current keeper of)_, E39 Actor, _P2 has type_, E55 Type",,"NTP49","does not have former or current keeper of type",,"NTP49(x,y) ⇒ E18(x)","NTP49(x,y) ⇒ E55(y)"
"P50","has current keeper (is current keeper of) ","E18","Physical Thing","E39","Actor",,"TP50","has current keeper of type",,"TP50(x,y) ⇒ E18(x)","TP50(x,y) ⇒ E55(y)","TP50(x,y) ⇔ (∃ z)[E39(z) ∧ P50(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E18 Physical Thing, _P50 has current keeper (is current keeper of) _, E39 Actor, _P2 has type_, E55 Type",,"NTP50","does not have current keeper of type",,"NTP50(x,y) ⇒ E18(x)","NTP50(x,y) ⇒ E55(y)"
"P109","has current or former curator (is current or former curator of)","E78","Curated Holding","E39","Actor",,"TP109","has current or former curator of type",,"TP109(x,y) ⇒ E78(x)","TP109(x,y) ⇒ E55(y)","TP109(x,y) ⇔ (∃ z)[E39(z) ∧ P109(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E78 Curated Holding, _P109 has current or former curator (is current or former curator of)_, E39 Actor, _P2 has type_, E55 Type",,"NTP109","does not have current or former curator of type",,"NTP109(x,y) ⇒ E78(x)","NTP109(x,y) ⇒ E55(y)"
"P51","has former or current owner (is former or current owner of)","E18","Physical Thing","E39","Actor",,"TP51","has former or current owner of type",,"TP51(x,y) ⇒ E18(x)","TP51(x,y) ⇒ E55(y)","TP51(x,y) ⇔ (∃ z)[E39(z) ∧ P51(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E18 Physical Thing, _P51 has former or current owner (is former or current owner of)_, E39 Actor, _P2 has type_, E55 Type",,"NTP51","does not have former or current owner of type",,"NTP51(x,y) ⇒ E18(x)","NTP51(x,y) ⇒ E55(y)"
"P52","has current owner (is current owner of)","E18","Physical Thing","E39","Actor",,"TP52","has current owner of type",,"TP52(x,y) ⇒ E18(x)","TP52(x,y) ⇒ E55(y)","TP52(x,y) ⇔ (∃ z)[E39(z) ∧ P52(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E18 Physical Thing, _P52 has current owner (is current owner of)_, E39 Actor, _P2 has type_, E55 Type",,"NTP52","does not have current owner of type",,"NTP52(x,y) ⇒ E18(x)","NTP52(x,y) ⇒ E55(y)"
"P53","has former or current location (is former or current location of) ","E18","Physical Thing","E53","Place",,"TP53","has former or current location of type","book is located in a gallery space","TP53(x,y) ⇒ E18(x)","TP53(x,y) ⇒ E55(y)","TP53(x,y) ⇔ (∃ z)[E53(z) ∧ P53(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E18 Physical Thing, _P53 has former or current location (is former or current location of) _, E53 Place, _P2 has type_, E55 Type",,"NTP53","does not have former or current location of type","book is not located in a store room","NTP53(x,y) ⇒ E18(x)","NTP53(x,y) ⇒ E55(y)"
"P55","has current location (currently holds) ","E19","Physical Object","E53","Place",,"TP55","has current location of type","book is located in a gallery space","TP55(x,y) ⇒ E19(x)","TP55(x,y) ⇒ E55(y)","TP55(x,y) ⇔ (∃ z)[E53(z) ∧ P55(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E19 Physical Object, _P55 has current location (currently holds) _, E53 Place, _P2 has type_, E55 Type",,"NTP55","does not have current location of type","book is not located in a store room","NTP55(x,y) ⇒ E19(x)","NTP55(x,y) ⇒ E55(y)"
"P54","has current permanent location (is current permanent location of)","E19","Physical Object","E53","Place",,"TP54","has current permanent location of type","book is located in a gallery space","TP54(x,y) ⇒ E19(x)","TP54(x,y) ⇒ E55(y)","TP54(x,y) ⇔ (∃ z)[E53(z) ∧ P54(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E19 Physical Object, _P54 has current permanent location (is current permanent location of)_, E53 Place, _P2 has type_, E55 Type",,"NTP54","does not have current permanent location of type","book is not located in a store room","NTP54(x,y) ⇒ E19(x)","NTP54(x,y) ⇒ E55(y)"
"P59","has section (is located on or within)","E18","Physical Thing","E53","Place",,"TP59","has section of type","book spine has section of type “panels”","TP59(x,y) ⇒ E18(x)","TP59(x,y) ⇒ E55(y)","TP59(x,y) ⇔ (∃ z)[E53(z) ∧ P59(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E18 Physical Thing, _P59 has section (is located on or within)_, E53 Place, _P2 has type_, E55 Type",,"NTP59","does not have section of type","book spine does not have section of type “panels”","NTP59(x,y) ⇒ E18(x)","NTP59(x,y) ⇒ E55(y)"
"P62","depicts  (is depicted by) ","E24","Physical Human-Made Thing","E1","CRM Entity",,"TP62","depicts entity of type","painting depicts flowers","TP62(x,y) ⇒ E24(x)","TP62(x,y) ⇒ E55(y)","TP62(x,y) ⇔ (∃ z)[E1(z) ∧ P62(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E24 Physical Human-Made Thing, _P62 depicts  (is depicted by) _, E1 CRM Entity, _P2 has type_, E55 Type",,"NTP62","does not depict entity of type","painting does not depict flowers","NTP62(x,y) ⇒ E24(x)","NTP62(x,y) ⇒ E55(y)"
"P67","refers to ( is referred to by)","E89","Propositional Object","E1","CRM Entity",,"TP67","refers to entity of type","text refers to events of type war","TP67(x,y) ⇒ E89(x)","TP67(x,y) ⇒ E55(y)","TP67(x,y) ⇔ (∃ z)[E1(z) ∧ P67(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E89 Propositional Object, _P67 refers to ( is referred to by)_, E1 CRM Entity, _P2 has type_, E55 Type",,"NTP67","does not refer to entity of type","text does not refer to wars","NTP67(x,y) ⇒ E89(x)","NTP67(x,y) ⇒ E55(y)"
"P68","foresees use of (use foreseen by)","E29","Design or Procedure","E57","Material",,"",,,"","","","This property is a shortcut of the fully developed path: E29 Design or Procedure, _P68 foresees use of (use foreseen by)_, E57 Material, _P2 has type_, E55 Type",,"NTP68","does not foresee use of material","instructions for painting cleaning does not foresee use of hazardous solvents","NTP68(x,y) ⇒ E29(x)","NTP68(x,y) ⇒ E55(y)"
"P70","documents (is documented in)","E31","Document","E1","CRM Entity",,"TP70","documents entity of type",,"TP70(x,y) ⇒ E31(x)","TP70(x,y) ⇒ E55(y)","TP70(x,y) ⇔ (∃ z)[E1(z) ∧ P70(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E31 Document, _P70 documents (is documented in)_, E1 CRM Entity, _P2 has type_, E55 Type",,"NTP70","does not document entity of type",,"NTP70(x,y) ⇒ E31(x)","NTP70(x,y) ⇒ E55(y)"
"P71","lists (is listed in)","E32","Authority Document","E1","CRM Entity",,"TP71","lists entity of type",,"TP71(x,y) ⇒ E32(x)","TP71(x,y) ⇒ E55(y)","TP71(x,y) ⇔ (∃ z)[E1(z) ∧ P71(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E32 Authority Document, _P71 lists (is listed in)_, E1 CRM Entity, _P2 has type_, E55 Type",,"NTP71","does not list entity of type",,"NTP71(x,y) ⇒ E32(x)","NTP71(x,y) ⇒ E55(y)"
"P129","is about (is subject of)","E89","Propositional Object","E1","CRM Entity",,"TP129","is about entity of type",,"TP129(x,y) ⇒ E89(x)","TP129(x,y) ⇒ E55(y)","TP129(x,y) ⇔ (∃ z)[E1(z) ∧ P129(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E89 Propositional Object, _P129 is about (is subject of)_, E1 CRM Entity, _P2 has type_, E55 Type",,"NTP129","is not about entity of type",,"NTP129(x,y) ⇒ E89(x)","NTP129(x,y) ⇒ E55(y)"
"P138","represents (has representation)","E36","Visual Item","E1","CRM Entity",,"TP138","represents entity of type","image represents manuscript text","TP138(x,y) ⇒ E36(x)","TP138(x,y) ⇒ E55(y)","TP138(x,y) ⇔ (∃ z)[E1(z) ∧ P138(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E36 Visual Item, _P138 represents (has representation)_, E1 CRM Entity, _P2 has type_, E55 Type",,"NTP138","does not represent entity of type","image does not represent manuscript text","NTP138(x,y) ⇒ E36(x)","NTP138(x,y) ⇒ E55(y)"
"P69","has association with (is associated with)","E29","Design or Procedure","E29","Design or Procedure",,"TP69","has association with design or procedure of type","cleaning instructions for the book include cleaning instructions for textblocks","TP69(x,y) ⇒ E29(x)","TP69(x,y) ⇒ E55(y)","TP69(x,y) ⇔ (∃ z)[E29(z) ∧ P69(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E29 Design or Procedure, _P69 has association with (is associated with)_, E29 Design or Procedure, _P2 has type_, E55 Type",,"NTP69","does not have association with design or procedure of type","cleaning instructions of the book do not include cleaning of textblocks","NTP69(x,y) ⇒ E29(x)","NTP69(x,y) ⇒ E55(y)"
"P72","has language (is language of)","E33","Linguistic Object","E56","Language",,"",,,"","","","This property is a shortcut of the fully developed path: E33 Linguistic Object, _P72 has language (is language of)_, E56 Language, _P2 has type_, E55 Type",,"NTP72","does not have language","the text is not written in greek","NTP72(x,y) ⇒ E33(x)","NTP72(x,y) ⇒ E55(y)"
"P74","has current or former residence (is current or former residence of)","E39","Actor","E53","Place",,"TP74","has current of former residence of type","my friend lives in a flat","TP74(x,y) ⇒ E39(x)","TP74(x,y) ⇒ E55(y)","TP74(x,y) ⇔ (∃ z)[E53(z) ∧ P74(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E39 Actor, _P74 has current or former residence (is current or former residence of)_, E53 Place, _P2 has type_, E55 Type",,"NTP74","does not have current or former residence of type","my friend does not live in a mansion","NTP74(x,y) ⇒ E39(x)","NTP74(x,y) ⇒ E55(y)"
"P75","possesses (is possessed by)","E39","Actor","E30","Right",,"TP75","possesses right of type","the author of the book possesses right of type “copyright”","TP75(x,y) ⇒ E39(x)","TP75(x,y) ⇒ E55(y)","TP75(x,y) ⇔ (∃ z)[E30(z) ∧ P75(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E39 Actor, _P75 possesses (is possessed by)_, E30 Right, _P2 has type_, E55 Type",,"NTP75","does not possess right of type","the author of the book does not possess right of type “copyright” (i.e. the publisher owns the copyright)","NTP75(x,y) ⇒ E39(x)","NTP75(x,y) ⇒ E55(y)"
"P76","has contact point (provides access to) ","E39","Actor","E41","Appellation",,"TP76","has contact point of type","my friend has contact point of type email","TP76(x,y) ⇒ E39(x)","TP76(x,y) ⇒ E55(y)","TP76(x,y) ⇔ (∃ z)[E41(z) ∧ P76(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E39 Actor, _P76 has contact point (provides access to) _, E41 Appellation, _P2 has type_, E55 Type",,"NTP76","does not have contact point of type","my friend does not have an email","NTP76(x,y) ⇒ E39(x)","NTP76(x,y) ⇒ E55(y)"
"P89","falls within (contains)","E53","Place","E53","Place",,"TP89","falls within place of type","the place of my house is on an island","TP89(x,y) ⇒ E53(x)","TP89(x,y) ⇒ E55(y)","TP89(x,y) ⇔ (∃ z)[E53(z) ∧ P89(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E53 Place, _P89 falls within (contains)_, E53 Place, _P2 has type_, E55 Type",,"NTP89","does not fall within place of type","the place of my house is not on an island","NTP89(x,y) ⇒ E53(x)","NTP89(x,y) ⇒ E55(y)"
"P97","from father (was father for)","E67","Birth","E21","Person",,"TP97","from father of type",,"TP97(x,y) ⇒ E67(x)","TP97(x,y) ⇒ E55(y)","TP97(x,y) ⇔ (∃ z)[E21(z) ∧ P97(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E67 Birth, _P97 from father (was father for)_, E21 Person, _P2 has type_, E55 Type",,"NTP97","not from father of type",,"NTP97(x,y) ⇒ E67(x)","NTP97(x,y) ⇒ E55(y)"
"P101","had as general use (was use of)","E70","Thing","E55","Type",,"",,,"","","","This property is a shortcut of the fully developed path: E70 Thing, _P101 had as general use (was use of)_, E55 Type, _P2 has type_, E55 Type",,"NTP101","did not have general use of type","my antique car did not have general use of type “transportation”","NTP101(x,y) ⇒ E70(x)","NTP101(x,y) ⇒ E55(y)"
"P103","was intended for (was intention of)","E71","Human-Made Thing","E55","Type",,"",,,"","","","This property is a shortcut of the fully developed path: E71 Human-Made Thing, _P103 was intended for (was intention of)_, E55 Type, _P2 has type_, E55 Type",,"NTP103","was not intended for","this place was not intended for being broken at my wedding reception","NTP103(x,y) ⇒ E71(x)","NTP103(x,y) ⇒ E55(y)"
"P104","is subject to (applies to)","E72","Legal Object","E30","Right",,"TP104","is subject to right of type","this book is in copyright","TP104(x,y) ⇒ E72(x)","TP104(x,y) ⇒ E55(y)","TP104(x,y) ⇔ (∃ z)[E30(z) ∧ P104(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E72 Legal Object, _P104 is subject to (applies to)_, E30 Right, _P2 has type_, E55 Type",,"NTP104","is not subject to right of type","this book is out of copyright","NTP104(x,y) ⇒ E72(x)","NTP104(x,y) ⇒ E55(y)"
"P105","right held by (has right on)","E72","Legal Object","E39","Actor",,"TP105","right held by actor of type",,"TP105(x,y) ⇒ E72(x)","TP105(x,y) ⇒ E55(y)","TP105(x,y) ⇔ (∃ z)[E39(z) ∧ P105(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E72 Legal Object, _P105 right held by (has right on)_, E39 Actor, _P2 has type_, E55 Type",,"NTP105","right is not held by actor of type",,"NTP105(x,y) ⇒ E72(x)","NTP105(x,y) ⇒ E55(y)"
"P52","has current owner (is current owner of)","E18","Physical Thing","E39","Actor",,"TP52","has current owner of type",,"TP52(x,y) ⇒ E18(x)","TP52(x,y) ⇒ E55(y)","TP52(x,y) ⇔ (∃ z)[E39(z) ∧ P52(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E18 Physical Thing, _P52 has current owner (is current owner of)_, E39 Actor, _P2 has type_, E55 Type",,"NTP52","does not have current owner of type",,"NTP52(x,y) ⇒ E18(x)","NTP52(x,y) ⇒ E55(y)"
"P106","is composed of (forms part of)","E90","Symbolic Object","E90","Symbolic Object",,"TP106","is composed of symbolic object of type","CocaCola logo is composed of symbols of type “letter”","TP106(x,y) ⇒ E90(x)","TP106(x,y) ⇒ E55(y)","TP106(x,y) ⇔ (∃ z)[E90(z) ∧ P106(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E90 Symbolic Object, _P106 is composed of (forms part of)_, E90 Symbolic Object, _P2 has type_, E55 Type",,"NTP106","is not composed of symbolic object of type","Olympic airways logo is not composed of symbolic objects of type “letter”","NTP106(x,y) ⇒ E90(x)","NTP106(x,y) ⇒ E55(y)"
"P165","incorporates (is incorporated in)","E73","Information Object","E90","Symbolic Object",,"TP165","incorporates symbolic object of type","Iliad incorporates symbolic objects of type “letters”","TP165(x,y) ⇒ E73(x)","TP165(x,y) ⇒ E55(y)","TP165(x,y) ⇔ (∃ z)[E90(z) ∧ P165(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E73 Information Object, _P165 incorporates (is incorporated in)_, E90 Symbolic Object, _P2 has type_, E55 Type",,"NTP165","does not incorporate symbolic object of type","My image my cat does not incorporate symbolic object of type “letters”","NTP165(x,y) ⇒ E73(x)","NTP165(x,y) ⇒ E55(y)"
"P107","has current or former member (is current or former member of)","E74","Group","E39","Actor",,"TP107","has current or former member of type",,"TP107(x,y) ⇒ E74(x)","TP107(x,y) ⇒ E55(y)","TP107(x,y) ⇔ (∃ z)[E39(z) ∧ P107(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E74 Group, _P107 has current or former member (is current or former member of)_, E39 Actor, _P2 has type_, E55 Type",,"NTP107","does not have current or former member of type",,"NTP107(x,y) ⇒ E74(x)","NTP107(x,y) ⇒ E55(y)"
"P121","overlaps with","E53","Place","E53","Place",,"TP121","overlaps with place of type","my village overlaps with a river","TP121(x,y) ⇒ E53(x)","TP121(x,y) ⇒ E55(y)","TP121(x,y) ⇔ (∃ z)[E53(z) ∧ P121(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E53 Place, _P121 overlaps with_, E53 Place, _P2 has type_, E55 Type",,"NTP121","does not overlap with place of type","my village does not overlap with a river","NTP121(x,y) ⇒ E53(x)","NTP121(x,y) ⇒ E55(y)"
"P122","borders with","E53","Place","E53","Place",,"TP122","borders with place of type","my village borders with a river","TP122(x,y) ⇒ E53(x)","TP122(x,y) ⇒ E55(y)","TP122(x,y) ⇔ (∃ z)[E53(z) ∧ P122(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E53 Place, _P122 borders with_, E53 Place, _P2 has type_, E55 Type",,"NTP122","does not border with place of type","my village does not border with a river","NTP122(x,y) ⇒ E53(x)","NTP122(x,y) ⇒ E55(y)"
"P125","used object of type (was type of object used in)","E7","Activity","E55","Type",,"",,,"","","","This property is a shortcut of the fully developed path: E7 Activity, _P125 used object of type (was type of object used in)_, E55 Type, _P2 has type_, E55 Type",,"NTP125","did not use object of type","the binding of the book did not use a book press","NTP125(x,y) ⇒ E7(x)","NTP125(x,y) ⇒ E55(y)"
"P32","used general technique (was technique of)","E7","Activity","E55","Type",,"",,,"","","","This property is a shortcut of the fully developed path: E7 Activity, _P32 used general technique (was technique of)_, E55 Type, _P2 has type_, E55 Type",,"NTP32","did not use general technique","the binding did not use stitching technique","NTP32(x,y) ⇒ E7(x)","NTP32(x,y) ⇒ E55(y)"
"P126","employed (was employed in)","E11","Modification","E57","Material",,"",,,"","","","This property is a shortcut of the fully developed path: E11 Modification, _P126 employed (was employed in)_, E57 Material, _P2 has type_, E55 Type",,"NTP126","did not employ material","the binding did not use tanned gold leaf","NTP126(x,y) ⇒ E11(x)","NTP126(x,y) ⇒ E55(y)"
"P127","has broader term (has narrower term)","E55","Type","E55","Type",,"",,,"","","","This property is a shortcut of the fully developed path: E55 Type, _P127 has broader term (has narrower term)_, E55 Type, _P2 has type_, E55 Type",,"",,,"",""
"P130","shows features of (features are also found on)","E70","Thing","E70","Thing",,"TP130","shows features of thing of type",,"TP130(x,y) ⇒ E70(x)","TP130(x,y) ⇒ E55(y)","TP130(x,y) ⇔ (∃ z)[E70(z) ∧ P130(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E70 Thing, _P130 shows features of (features are also found on)_, E70 Thing, _P2 has type_, E55 Type",,"NTP130","does not show features of thing of type",,"NTP130(x,y) ⇒ E70(x)","NTP130(x,y) ⇒ E55(y)"
"P73","has translation","E33","Linguistic Object","E33","Linguistic Object",,"TP73","has translation linguistic object of type","my translation is translation of welsh poetry","TP73(x,y) ⇒ E33(x)","TP73(x,y) ⇒ E55(y)","TP73(x,y) ⇔ (∃ z)[E33(z) ∧ P73(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E33 Linguistic Object, _P73 has translation_, E33 Linguistic Object, _P2 has type_, E55 Type",,"NTP73","does not have translation linguistic object of type","my translation is not translation of poetry","NTP73(x,y) ⇒ E33(x)","NTP73(x,y) ⇒ E55(y)"
"P128","carries (is carried by)","E18","Physical Thing","E90","Symbolic Object",,"TP128","carries symbolic object of type","my book of poetry","TP128(x,y) ⇒ E18(x)","TP128(x,y) ⇒ E55(y)","TP128(x,y) ⇔ (∃ z)[E90(z) ∧ P128(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E18 Physical Thing, _P128 carries (is carried by)_, E90 Symbolic Object, _P2 has type_, E55 Type",,"NTP128","does not carry symbolic object of type","my book is not of poetry","NTP128(x,y) ⇒ E18(x)","NTP128(x,y) ⇒ E55(y)"
"P65","shows visual item (is shown by)","E24","Physical Human-Made Thing","E36","Visual Item",,"TP65","shows visual item of type","my coin shows visual item of type portrait","TP65(x,y) ⇒ E24(x)","TP65(x,y) ⇒ E55(y)","TP65(x,y) ⇔ (∃ z)[E36(z) ∧ P65(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E24 Physical Human-Made Thing, _P65 shows visual item (is shown by)_, E36 Visual Item, _P2 has type_, E55 Type",,"NTP65","does not show visual item of type","my coin does not show visual item of type portrait","NTP65(x,y) ⇒ E24(x)","NTP65(x,y) ⇒ E55(y)"
"P132","overlaps with","E92","Spacetime Volume","E92","Spacetime Volume",,"",,,"","","","This property is a shortcut of the fully developed path: E92 Spacetime Volume, _P132 overlaps with_, E92 Spacetime Volume, _P2 has type_, E55 Type",,"",,,"",""
"P9","consists of (forms part of)","E4","Period","E4","Period",,"",,,"","","","This property is a shortcut of the fully developed path: E4 Period, _P9 consists of (forms part of)_, E4 Period, _P2 has type_, E55 Type",,"",,,"",""
"P10","falls within (contains)","E92","Spacetime Volume","E92","Spacetime Volume",,"",,,"","","","This property is a shortcut of the fully developed path: E92 Spacetime Volume, _P10 falls within (contains)_, E92 Spacetime Volume, _P2 has type_, E55 Type",,"",,,"",""
"P166","was a presence of (had presence)","E93","Presence","E92","Spacetime Volume",,"",,,"","","","This property is a shortcut of the fully developed path: E93 Presence, _P166 was a presence of (had presence)_, E92 Spacetime Volume, _P2 has type_, E55 Type",,"",,,"",""
"P46","is composed of (forms part of)","E18","Physical Thing","E18","Physical Thing",,"TP46","is composed of physical thing of type","binding is composed of boards","TP46(x,y) ⇒ E18(x)","TP46(x,y) ⇒ E55(y)","TP46(x,y) ⇔ (∃ z)[E18(z) ∧ P46(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E18 Physical Thing, _P46 is composed of (forms part of)_, E18 Physical Thing, _P2 has type_, E55 Type",,"NTP46","is not composed of physical thing of type","binding is not composed of boards","NTP46(x,y) ⇒ E18(x)","NTP46(x,y) ⇒ E55(y)"
"P56","bears feature (is found on)","E19","Physical Object","E26","Physical Feature",,"TP56","bears feature of type","cover bears feature of type blind tooling","TP56(x,y) ⇒ E19(x)","TP56(x,y) ⇒ E55(y)","TP56(x,y) ⇔ (∃ z)[E26(z) ∧ P56(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E19 Physical Object, _P56 bears feature (is found on)_, E26 Physical Feature, _P2 has type_, E55 Type",,"NTP56","does not bear feature of type","cover does not bear feature of type gold tooling","NTP56(x,y) ⇒ E19(x)","NTP56(x,y) ⇒ E55(y)"
"P139","has alternative form","E41","Appellation","E41","Appellation",,"TP139","has alternative form of type","Martin Doerr has alternative form of type alternate spelling","TP139(x,y) ⇒ E41(x)","TP139(x,y) ⇒ E55(y)","TP139(x,y) ⇔ (∃ z)[E41(z) ∧ P139(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E41 Appellation, _P139 has alternative form_, E41 Appellation, _P2 has type_, E55 Type",,"NTP139","does not have alternative form of type","Martin Doerr does not have alternative form of type alternative spelling","NTP139(x,y) ⇒ E41(x)","NTP139(x,y) ⇒ E55(y)"
"P140","assigned attribute to (was attributed by)","E13","Attribute Assignment","E1","CRM Entity",,"TP140","assigned attribute to entity of type","assessed object of type book","TP140(x,y) ⇒ E13(x)","TP140(x,y) ⇒ E55(y)","TP140(x,y) ⇔ (∃ z)[E1(z) ∧ P140(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E13 Attribute Assignment, _P140 assigned attribute to (was attributed by)_, E1 CRM Entity, _P2 has type_, E55 Type",,"NTP140","did not assign attribute to entity of type","did not assess object of type book","NTP140(x,y) ⇒ E13(x)","NTP140(x,y) ⇒ E55(y)"
"P34","concerned (was assessed by)","E14","Condition Assessment","E18","Physical Thing",,"TP34","concerned physical thing of type","assessed object of type book","TP34(x,y) ⇒ E14(x)","TP34(x,y) ⇒ E55(y)","TP34(x,y) ⇔ (∃ z)[E18(z) ∧ P34(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E14 Condition Assessment, _P34 concerned (was assessed by)_, E18 Physical Thing, _P2 has type_, E55 Type",,"NTP34","did not concern physical thing of type","did not assess object of type book","NTP34(x,y) ⇒ E14(x)","NTP34(x,y) ⇒ E55(y)"
"P39","measured (was measured by)","E16","Measurement","E1","CRM Entity",,"TP39","measured entity of type","measured a book","TP39(x,y) ⇒ E16(x)","TP39(x,y) ⇒ E55(y)","TP39(x,y) ⇔ (∃ z)[E1(z) ∧ P39(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E16 Measurement, _P39 measured (was measured by)_, E1 CRM Entity, _P2 has type_, E55 Type",,"NTP39","did not measure entity of type","did not measure a book","NTP39(x,y) ⇒ E16(x)","NTP39(x,y) ⇒ E55(y)"
